source_block,target_block,total_weight,num_edges,sbm_type
133,65,24.968173418328256,25,flat_exponential
133,58,0.5649696258410459,25,flat_exponential
133,12,338.43694649101434,60,flat_exponential
133,142,2.84906154033624,36,flat_exponential
133,13,138.30110988269328,48,flat_exponential
133,113,0.5489705635122646,25,flat_exponential
133,31,5.026939434965728,25,flat_exponential
133,145,98.32553889238851,38,flat_exponential
133,205,13.661396477231346,30,flat_exponential
133,133,191.54688394232986,30,flat_exponential
133,199,7.438967658871961,18,flat_exponential
133,56,113.34174845779658,48,flat_exponential
133,34,17.519940022732523,14,flat_exponential
65,84,14.679313174883092,56,flat_exponential
65,184,52.141867960297176,49,flat_exponential
65,160,114.5009841133286,85,flat_exponential
65,37,125.97736585719035,67,flat_exponential
65,18,92.77338590052818,46,flat_exponential
65,49,272.9853203356192,96,flat_exponential
65,205,0.756486055297128,18,flat_exponential
65,201,3.7564182054517046,8,flat_exponential
65,65,41.09805618894344,33,flat_exponential
65,12,26.232113197416126,54,flat_exponential
65,145,12.102307074252252,26,flat_exponential
65,133,38.26711992046667,41,flat_exponential
65,56,9.566028808495265,37,flat_exponential
65,199,0.8424846544019625,9,flat_exponential
65,113,0.30878947847551697,6,flat_exponential
65,21,0.5314834894467882,13,flat_exponential
65,13,2.188532939195606,23,flat_exponential
142,34,3.3432844452813044,3,flat_exponential
142,21,0.662527074567802,13,flat_exponential
142,49,136.8859333664316,99,flat_exponential
142,160,136.60076140438184,82,flat_exponential
142,184,21.95682130500407,43,flat_exponential
142,18,3.3712827495813134,19,flat_exponential
142,12,2.8612119330511714,33,flat_exponential
142,145,13.80271634947389,21,flat_exponential
142,58,6.509389216847628,11,flat_exponential
142,133,10.438528906490497,41,flat_exponential
142,37,0.33379689863674067,16,flat_exponential
142,13,19.147948515084124,28,flat_exponential
58,49,137.17889571895114,114,flat_exponential
58,18,10.297868842312523,21,flat_exponential
58,160,149.01968712966698,96,flat_exponential
58,142,5.240515340106476,2,flat_exponential
58,184,18.00350738282739,45,flat_exponential
58,205,0.0694360448302212,4,flat_exponential
58,31,0.2953573684134879,3,flat_exponential
58,86,5.996653109419424,6,flat_exponential
58,145,8.271382339622157,28,flat_exponential
58,133,1.9201032027344853,32,flat_exponential
58,58,1.4382497185349363,8,flat_exponential
58,199,1.3636409491958381,1,flat_exponential
58,13,23.418915112730847,16,flat_exponential
58,12,1.5466142503782194,27,flat_exponential
58,34,21.729544504817365,12,flat_exponential
113,34,1.342194866041032,1,flat_exponential
205,58,0.0508892510745767,3,flat_exponential
201,34,1.3331174803047612,5,flat_exponential
65,58,0.09117233607468908,5,flat_exponential
65,31,0.12942611480274463,10,flat_exponential
65,142,0.08634081823969608,9,flat_exponential
65,128,3.6620479799479875,17,flat_exponential
65,48,0.1466943791508035,1,flat_exponential
199,205,16.88661384105193,25,flat_exponential
199,160,93.03091844538889,72,flat_exponential
199,184,41.29177685540424,47,flat_exponential
199,18,53.157772980664625,38,flat_exponential
199,49,236.90656562715992,88,flat_exponential
199,84,64.19411186536898,54,flat_exponential
199,142,0.08988019194777382,8,flat_exponential
199,58,0.11348018192412444,6,flat_exponential
199,128,5.398161562225756,14,flat_exponential
199,56,30.86952612119201,34,flat_exponential
199,13,13.365116353442241,27,flat_exponential
199,86,0.7502922557076471,9,flat_exponential
199,12,18.899817619027154,48,flat_exponential
199,133,37.51069509226091,35,flat_exponential
199,37,8.46907241982452,29,flat_exponential
199,145,19.724790992317743,24,flat_exponential
199,199,4.958649810699445,11,flat_exponential
199,34,0.031883283007654195,1,flat_exponential
199,31,0.1267755999789556,4,flat_exponential
145,34,25.180870715048364,10,flat_exponential
199,21,6.127648502546059,19,flat_exponential
199,201,9.102601792867057,8,flat_exponential
199,113,0.32315789893495167,3,flat_exponential
48,65,3.2122460587399595,7,flat_exponential
86,65,6.314855093820384,8,flat_exponential
86,31,0.3162711147399877,9,flat_exponential
21,21,96.71245235622709,38,flat_exponential
21,160,134.99464615109633,66,flat_exponential
21,49,427.7187203974963,89,flat_exponential
21,18,49.733479632229106,41,flat_exponential
21,142,0.10982259576528554,31,flat_exponential
21,84,11.192596622743824,37,flat_exponential
21,199,9.515680853453395,22,flat_exponential
21,184,197.43655442046156,48,flat_exponential
21,12,232.9350762268397,68,flat_exponential
21,201,34.791532275508665,41,flat_exponential
21,205,1.547831656606682,19,flat_exponential
21,128,13.448271050776796,34,flat_exponential
21,48,25.781577514419347,41,flat_exponential
21,58,0.07571195636847311,19,flat_exponential
21,56,31.657270187864857,36,flat_exponential
21,86,0.0643306654806545,10,flat_exponential
21,145,26.02263647996256,35,flat_exponential
21,31,0.31551285448399796,21,flat_exponential
21,13,32.39939411643902,44,flat_exponential
21,113,2.6071507984964426,17,flat_exponential
21,133,146.28480614147122,42,flat_exponential
21,65,1.2331250356998622,6,flat_exponential
21,37,0.5736432607717454,19,flat_exponential
31,201,0.6531870807634904,9,flat_exponential
31,48,0.71019247229382,9,flat_exponential
31,56,4.976318769497134,19,flat_exponential
31,65,0.0786040257248398,4,flat_exponential
65,34,0.15796139098123332,3,flat_exponential
65,86,4.605242190374183,6,flat_exponential
58,201,0.46616732617523843,4,flat_exponential
58,84,7.4614445579476945,17,flat_exponential
58,128,0.09594259590711851,13,flat_exponential
142,128,15.371010003168571,32,flat_exponential
142,48,0.225007943030743,3,flat_exponential
142,84,2.428031547444484,12,flat_exponential
142,142,4.0642041911079,15,flat_exponential
142,199,0.1954223118069214,8,flat_exponential
142,201,0.03117926167440909,3,flat_exponential
142,113,11.591753277106564,25,flat_exponential
142,31,1.1988075392170596,13,flat_exponential
142,205,0.41016535923761466,8,flat_exponential
142,86,0.005030691081105719,5,flat_exponential
34,65,1.3491903187622531,4,flat_exponential
31,58,0.2843624216782319,2,flat_exponential
21,34,0.001894204860697929,1,flat_exponential
142,56,0.5229617925937114,3,flat_exponential
58,56,0.2510454926690877,9,flat_exponential
58,37,3.0557494094938566,11,flat_exponential
58,21,0.014722821525952194,3,flat_exponential
58,65,0.6601485629069643,2,flat_exponential
58,113,0.02983922594762068,3,flat_exponential
199,65,0.012199608183072756,4,flat_exponential
31,34,0.10258106658360568,4,flat_exponential
8,53,7.5687773428666985,28,flat_lognormal
8,122,15.766810656749636,28,flat_lognormal
8,156,113.52473096426607,40,flat_lognormal
8,6,105.03395040574476,100,flat_lognormal
8,142,23.733455398559524,70,flat_lognormal
8,175,132.56232052284065,111,flat_lognormal
8,108,214.52558507793623,63,flat_lognormal
8,143,28.704188566187582,37,flat_lognormal
8,103,416.4045823584094,83,flat_lognormal
8,5,51.38651502096708,48,flat_lognormal
8,135,9.643645578953075,25,flat_lognormal
8,4,4.094985440144061,26,flat_lognormal
8,102,170.051050385115,102,flat_lognormal
8,70,34.601823478702855,36,flat_lognormal
8,8,57.679279642077695,38,flat_lognormal
8,22,394.17017331055865,80,flat_lognormal
8,134,108.28229998508306,48,flat_lognormal
8,191,21.648148195845096,29,flat_lognormal
135,142,113.61113203622541,52,flat_lognormal
135,103,127.33666840924153,64,flat_lognormal
135,156,97.14801279605814,35,flat_lognormal
135,22,291.05456530301933,69,flat_lognormal
135,53,3.179365921211831,19,flat_lognormal
135,175,37.06763989076796,45,flat_lognormal
135,191,6.657546337820273,17,flat_lognormal
135,64,0.31329652813787173,10,flat_lognormal
135,108,58.62892251850652,44,flat_lognormal
135,143,2.606827437393155,9,flat_lognormal
135,6,10.33100698394383,24,flat_lognormal
135,5,59.998961712115936,41,flat_lognormal
135,135,12.00339510751112,15,flat_lognormal
135,4,3.3423428625094367,17,flat_lognormal
